"","x"
"233","GRIA3"
"234","COL1A1"
"235","NAE1"
"236","SIK3"
"237","FABP4"
"238","LOXL2"
"239","ADRM1"
"240","DMD"
"241","FLT3"
"242","HPGD"
"243","VIP"
"244","XPNPEP2"
"245","PSMC4"
"246","PSMD3"
"247","P2RY11"
"248","PRMT1"
"249","ADAMTS1"
"250","IPO9"
"251","HGF"
"252","PSMD10"
"253","ASNS"
"254","CCL14"
"255","PBRM1"
"256","SLC16A7"
"257","ART3"
"258","EIF4EBP2"
"259","SLC12A7"
"260","JAK2"
"261","MAPKAPK5"
"262","PDGFRA"
"263","FCER2"
"264","CYP1A1"
"265","ADAM8"
"266","F11"
"267","PDE1A"
"268","GRM7"
"269","TXNIP"
"270","EDN3"
"271","MMP1"
"272","GPER1"
"273","ADCY5"
"274","RBL1"
"275","E2F3"
"276","TNNT3"
"277","CH25H"
"278","SMN1"
"279","PRIM1"
"280","NPR1"
"281","FOXO1"
"282","GRIA1"
"283","PER1"
"284","CTSG"
"285","XPO1"
"286","TMSB10"
"287","HSD11B1"
"288","CYR61"
"289","HIPK1"
"290","E2F2"
"291","SPHK1"
"292","DYRK1A"
"293","CSNK1E"
"294","CPT1B"
"295","DCT"
"296","CLK2"
"297","KCNA2"
"298","RCE1"
"299","CBX4"
"300","INPP5A"
"301","EPHA5"
"302","PSMA7"
"303","FGFR2"
"304","CDKL1"
"305","PPIB"
"306","SGMS2"
"307","HTR2A"
"308","MARCKSL1"
"309","NME2"
"310","P2RX2"
"311","JUND"
"312","SMARCB1"
"313","PSMC3IP"
"314","GLA"
"315","ESRRG"
"316","HMBS"
"317","PSMD8"
"318","FABP3"
"319","SETBP1"
"320","COL4A4"
"321","MT1E"
"322","EGR2"
"323","GRIN2D"
"324","PSMD4"
"325","PSMD11"
"326","CCL2"
"327","ACAT1"
"328","S1PR1"
"329","CSNK1G2"
"330","EIF4EBP1"
"331","ISG15"
"332","KCNA1"
"333","STAB2"
"334","KCNA5"
"335","TAP2"
"336","PRKD2"
"337","PIK3R1"
"338","LPAR1"
"339","DDR2"
"340","TSC22D3"
"341","PTGFR"
"342","PML"
"343","SSTR1"
"344","IPO4"
"345","MXI1"
"346","COL4A3"
"347","FCER1A"
"348","ABCC9"
"349","PGA5"
"350","KISS1R"
"351","JUNB"
"352","DDIT3"
"353","SENP1"
"354","RPS19"
"355","PRKG1"
"356","P2RY14"
"357","SELE"
"358","NR1H4"
"359","VAMP2"
"360","P2RY12"
"361","SMYD2"
"362","CYP20A1"
"363","PIK3C2A"
"364","NMBR"
"365","PSMB3"
"366","KCNS2"
"367","ATP2A1"
"368","ACLY"
"369","APOB"
"370","PTPRB"
"371","DPP9"
"372","CFD"
"373","RUNX1"
"374","CXCL10"
"375","PSMB5"
"376","CALR"
"377","IL23A"
"378","TRPM6"
"379","SMAD4"
"380","SGK1"
"381","UTRN"
"382","MGLL"
"383","AVPR2"
"384","RAC1"
"385","GABRD"
"386","GABRA2"
"387","IGF1"
"388","TUBA1B"
"389","RPS2"
"390","BAZ2B"
"391","APEX1"
"392","CNTN1"
"393","SGMS1"
"394","KCNH7"
"395","PPME1"
"396","MAG"
"397","IL1R1"
"398","MAP4K4"
"399","GABRB3"
"400","TGFBR2"
"401","SERPINH1"
"402","CYP4B1"
"403","CSNK2A1"
"404","EDNRB"
"405","PSMB2"
"406","KCNB1"
"407","SLC25A20"
"408","SLC16A3"
"409","PRKCB"
"410","PSME2"
"411","DHPS"
"412","JUN"
"413","BMPR2"
"414","BMX"
"415","ECE2"
"416","PAEP"
"417","RBX1"
"418","KCNJ13"
"419","LPAR2"
"420","HSP90AB1"
"421","SRSF2"
"422","PMAIP1"
"423","CHEK2"
"424","LTC4S"
"425","ATIC"
"426","NEK7"
"427","NTRK2"
"428","THBD"
"429","SIRT6"
"430","TRPM2"
"431","IMPDH1"
"432","PKM"
"433","ABCC8"
"434","HDAC8"
"435","PPAT"
"436","RPS6KA4"
"437","POLA1"
"438","SLK"
"439","TNFRSF4"
"440","FGF2"
"441","PDE7A"
"442","FLG"
"443","KCNJ3"
"444","ESR1"
"445","SLC17A9"
"446","P2RX1"
"447","IL11RA"
"448","XPNPEP1"
"449","CST4"
"450","COL6A6"
"451","UBR1"
"452","EIF2B1"
"453","SIK2"
"454","SIK1"
"455","SMOX"
"456","CSK"
"457","SMARCA4"
"458","TLR4"
"459","CACNA1H"
"460","LATS2"
"461","CCR8"
"462","TNFRSF9"
"463","CASR"
"464","MPO"
"465","CASP9"
"466","ERCC2"
"467","NAT2"
"468","PSMC2"
"469","LTB4R"
"470","APC"
"471","SLC2A4"
"472","BIRC7"
"473","MLYCD"
"474","TTR"
"475","KDM1A"
"476","G6PD"
"477","CHRNA2"
"478","SULT1A2"
"479","PTGDR2"
"480","SERPINA5"
"481","STAT5B"
"482","HSPA5"
"483","MSH2"
"484","KDM3A"
"485","SLC1A5"
"486","CTGF"
"487","VPS37A"
"488","PTGER4"
"489","KCNT2"
"490","EPAS1"
"491","CDK4"
"492","MMP10"
"493","RXRG"
"494","CDK16"
"495","BCHE"
"496","KEAP1"
"497","EHMT2"
"498","COL5A2"
"499","SMAD7"
"500","TNFRSF18"
"501","SLC8A3"
"502","GABPA"
"503","AKT1S1"
"504","PDE8B"
"505","F10"
"506","KCNA3"
"507","SLC2A1"
"508","IL6"
"509","ACR"
"510","TYMP"
"511","GCK"
"512","NDUFS1"
"513","ITPKB"
"514","SLC19A3"
"515","ACVR2A"
"516","TNNT1"
"517","HTR2B"
"518","KDM5C"
"519","NPY"
"520","COL11A1"
"521","RYR3"
"522","MAP2K4"
"523","NPM1"
"524","GABRA4"
"525","MT-ND6"
"526","KDM5B"
"527","NDUFS6"
"528","LAMA5"
"529","EPRS"
"530","PRMT3"
"531","PARP2"
"532","ADH4"
"533","SETD2"
"534","RRM1"
"535","LMO2"
"536","VDAC1"
"537","CYP2A6"
"538","ABCG2"
"539","CLU"
"540","GALC"
"541","CACNA2D1"
"542","STMN1"
"543","ROCK2"
"544","CYP11A1"
"545","CYP27A1"
"546","GPR84"
"547","ADRA1D"
"548","ACTL6A"
"549","MMP14"
"550","MYL2"
"551","HBEGF"
"552","STAT2"
"553","ANGPT1"
"554","HTR4"
"555","PSMB9"
"556","ENTPD2"
"557","SCN3A"
"558","PRKDC"
"559","TJP1"
"560","RXRA"
"561","PDE1B"
"562","KIT"
"563","TLR3"
"564","KAT5"
"565","HSP90B1"
"566","ACKR4"
"567","AR"
"568","MLANA"
"569","TUBA1C"
"570","ADARB2"
"571","BCL2L1"
"572","ACO1"
"573","PRMT7"
"574","GFER"
"575","HPD"
"576","PRKCQ"
"577","PPARA"
"578","HCRTR1"
"579","SOCS6"
"580","ABHD6"
"581","KDM6A"
"582","ABCC10"
"583","SERPIND1"
"584","CTSO"
"585","GRK5"
"586","PZP"
"587","MTF1"
"588","PPP3CB"
"589","ILK"
"590","ATXN1L"
"591","APRT"
"592","RUNX2"
"593","GRK6"
"594","CD36"
"595","RPS6KA2"
"596","CCK"
"597","TAGLN"
"598","FCGR1A"
"599","NTS"
"600","PTPN4"
"601","RAMP3"
"602","POLB"
"603","NFE2L2"
"604","DPYS"
"605","CDK2"
"606","CERK"
"607","SERPINA3"
"608","OXER1"
"609","PSMA3"
"610","CHRNA1"
"611","XCR1"
"612","CPB1"
"613","A2M"
"614","MT-ND3"
"615","CPT1A"
"616","EPHA7"
"617","FABP1"
"618","PSMB8"
"619","ERCC1"
"620","PGP"
"621","SRPK1"
"622","PRKCA"
"623","THRSP"
"624","RPS6KB2"
"625","RAPGEF3"
"626","LAMC3"
"627","RPS6KA6"
"628","SOCS3"
"629","ENPP2"
"630","HNMT"
"631","CCL25"
"632","ARNT"
"633","KCNJ12"
"634","ETV4"
"635","ADRB2"
"636","ADRA2A"
"637","SENP8"
"638","PEBP1"
"639","PTGER3"
"640","ERBB4"
"641","RBP4"
"642","CACNB4"
"643","GPI"
"644","SLC22A3"
"645","CASP3"
"646","PTP4A1"
"647","KLKB1"
"648","PARP1"
"649","THBS1"
"650","DDR1"
"651","STAT1"
"652","KRT6A"
"653","SLC25A4"
"654","MBP"
"655","KCNB2"
"656","CRY1"
"657","NEK1"
"658","PAK3"
"659","MITF"
"660","ADRA1B"
"661","FADD"
"662","SLC1A7"
"663","PTCH1"
"664","HDGF"
"665","LIPC"
"666","PSENEN"
"667","GART"
"668","LRRK2"
"669","USP14"
"670","PDE8A"
"671","GPBAR1"
"672","COIL"
"673","PSMD2"
"674","IRAK3"
"675","SLC23A2"
"676","SGPL1"
"677","MUT"
"678","FOXP3"
"679","GALNS"
"680","FECH"
"681","PTGER2"
"682","IL6R"
"683","KCNE1"
"684","SCN4B"
"685","TOP1MT"
"686","JAK1"
"687","HSPB2"
"688","EMP1"
"689","COL4A6"
"690","CDKL2"
"691","TNFRSF12A"
"692","SCNN1B"
"693","MMP12"
"694","CSF3"
"695","CNR1"
"696","NPEPL1"
"697","IKBKE"
"698","NDUFA4L2"
"699","SNCA"
"700","RNF112"
"701","NCSTN"
"702","PTPRD"
"703","PLA2G2A"
"704","PPP3CC"
"705","MT-ND5"
"706","SPTLC3"
"707","SERPING1"
"708","DPP8"
"709","PCSK7"
"710","PTMA"
"711","PRKD1"
"712","PSME3"
"713","IDI1"
"714","SLC1A2"
"715","MAP3K3"
"716","MSTN"
"717","PTGS2"
"718","HDAC2"
"719","CASP12"
"720","PLAUR"
"721","MT-ND1"
"722","HSD3B2"
"723","NOTCH3"
"724","GSTA1"
"725","TXN"
"726","GPR88"
"727","CYP1B1"
"728","PSMB7"
"729","MTTP"
"730","RPS6KA5"
"731","APLN"
"732","ABCC1"
"733","NCL"
"734","DPYD"
"735","PRKAA2"
"736","FES"
"737","WWOX"
"738","CSF2"
"739","NT5C2"
"740","PSMC3"
"741","SLC1A1"
"742","GNAQ"
"743","AVPR1A"
"744","SLC9A5"
"745","KCNN4"
"746","HUS1"
"747","ZEB1"
"748","SCN1A"
"749","SLC5A8"
"750","PDHB"
"751","CA3"
"752","ERG"
"753","IPO8"
"754","NDUFA12"
"755","GATA1"
"756","IFNGR2"
"757","PGGT1B"
"758","MMP8"
"759","ESRRB"
"760","CYSLTR1"
"761","CFLAR"
"762","NDUFA7"
"763","PDE4D"
"764","CHRM1"
"765","PRKG2"
"766","DCK"
"767","HIPK2"
"768","STK33"
"769","ANGPT2"
"770","TOP2B"
"771","TIE1"
"772","NDUFS5"
"773","SLC28A2"
"774","PCSK5"
"775","CHRNG"
"776","SHBG"
"777","CYP26B1"
"778","AANAT"
"779","GDF15"
"780","TLE3"
"781","NKX6-1"
"782","SLC10A1"
"783","CYP17A1"
"784","SLCO2A1"
"785","BCL2L2"
"786","APOA1"
"787","KCNK2"
"788","IDO1"
"789","PDE4B"
"790","NDUFA5"
"791","SCTR"
"792","FXYD2"
"793","ASIC3"
"794","PVALB"
"795","CATSPER4"
"796","CXCR1"
"797","VIPR1"
"798","BACE1"
"799","GABRB1"
"800","DDIT4"
"801","CD69"
"802","CDC42BPA"
"803","TNFSF4"
"804","DNMT3A"
"805","COL1A2"
"806","EDA"
"807","PRKACB"
"808","FAP"
"809","COL4A1"
"810","PTGDR"
"811","BLK"
"812","C5"
"813","CACNB2"
"814","BMPR1A"
"815","PGF"
"816","PAK4"
"817","ICAM2"
"818","AMHR2"
"819","EZH1"
"820","USP5"
"821","SCN3B"
"822","MYLK2"
"823","GZMB"
"824","PLG"
"825","GPR35"
"826","SERPINF1"
"827","CHRNA9"
"828","EIF5A"
"829","DFFB"
"830","TRPM1"
"831","TUBB4B"
"832","CLCN7"
"833","PNMT"
"834","CYP3A4"
"835","JAK3"
"836","CDK13"
"837","CD40LG"
"838","LTB4R2"
"839","KCNJ5"
"840","PSMC6"
"841","KCNN2"
"842","OXGR1"
"843","KCNJ8"
"844","EPHX1"
"845","MS4A2"
"846","OSM"
"847","KMT5B"
"848","CYP46A1"
"849","THRA"
"850","GPR142"
"851","NR3C1"
"852","CLCNKB"
"853","MAPK14"
"854","ADRB1"
"855","DAPK1"
"856","CYP2C8"
"857","ABCA5"
"858","RXFP1"
"859","ADH5"
"860","PADI4"
"861","CPSF2"
"862","CATSPER1"
"863","SRD5A3"
"864","CDK12"
"865","TESK2"
"866","SST"
"867","ZFP36L2"
"868","CPD"
"869","BHMT"
"870","ABL2"
"871","TPM3"
"872","DBH"
"873","SLC3A2"
"874","ADRA2B"
"875","APH1A"
"876","TXK"
"877","IGFBP5"
"878","THPO"
"879","KCNQ4"
"880","SCN4A"
"881","KCNJ1"
"882","AQP1"
"883","EML4"
"884","HEBP1"
"885","CLCN6"
"886","CPM"
"887","MT1G"
"888","PLA2G4A"
"889","NDUFAF1"
"890","NPR2"
"891","ADCYAP1"
"892","MUC2"
"893","SLC47A1"
"894","GPR75"
"895","CSNK2A2"
"896","NAAA"
"897","EPHB6"
"898","HLA-A"
"899","AHCY"
"900","PTP4A3"
"901","MLNR"
"902","CCKBR"
"903","NAPEPLD"
"904","GRIN2B"
"905","SRGN"
"906","SIRT3"
"907","PADI3"
"908","IFI27"
"909","GSK3B"
"910","CNGA1"
"911","TNFRSF10B"
"912","GP1BA"
"913","ARG1"
"914","EPHB2"
"915","OXT"
"916","CD79B"
"917","PLA2G1B"
"918","HDAC4"
"919","PRLR"
"920","IFNAR1"
"921","ADCYAP1R1"
"922","EPHA6"
"923","LCT"
"924","BRDT"
"925","HRH4"
"926","BCAR3"
"927","ATP2C1"
"928","CLCNKA"
"929","PCSK4"
"930","MT-CO1"
"931","TNK2"
"932","CDK15"
"933","DEPTOR"
"934","SRMS"
"935","TACR2"
"936","NDUFB11"
"937","FZD2"
"938","TNFSF13"
"939","GRM6"
"940","TAOK3"
"941","KRT10"
"942","LSS"
"943","COL28A1"
"944","GRIN2A"
"945","NGF"
"946","P4HB"
"947","ADA"
"948","SLC23A1"
"949","CAMK2D"
"950","CDK3"
"951","CTLA4"
"952","SLC6A2"
"953","TRPM7"
"954","PSMD1"
"955","CD70"
"956","MT2A"
"957","STK36"
"958","POU5F1"
"959","ST14"
"960","HPGDS"
"961","TOB1"
"962","PLA2G7"
"963","BGLAP"
"964","EP300"
"965","GRIK4"
"966","SLC7A5"
"967","MYB"
"968","GRIK5"
"969","IHH"
"970","AKT3"
"971","SLC38A4"
"972","COL5A1"
"973","BCL6"
"974","P2RY6"
"975","CX3CR1"
"976","EPHA3"
"977","RPSA"
"978","RNPEP"
"979","COL4A5"
"980","PRKCE"
"981","ITPR2"
"982","MAP2K2"
"983","FER"
"984","ADRB3"
"985","CDK10"
"986","DIABLO"
"987","CANX"
"988","GABRB2"
"989","CYP1A2"
"990","SSTR2"
"991","ZACN"
"992","SLC22A2"
"993","PSMD12"
"994","RAPGEF4"
"995","RALA"
"996","NCOA3"
"997","INPPL1"
"998","ALB"
"999","LDHA"
"1000","PSMF1"
"1001","SNW1"
"1002","PTK2"
"1003","TK2"
"1004","FOXS1"
"1005","LTA"
"1006","TSPYL2"
"1007","SLC15A2"
"1008","PLCG2"
"1009","EIF2AK2"
"1010","IL11"
"1011","IGFBP6"
"1012","STK31"
"1013","DIO1"
"1014","IL17C"
"1015","HTR1D"
"1016","C1S"
"1017","ABCC6"
"1018","IL21R"
"1019","KDR"
"1020","CYP27B1"
"1021","CECR2"
"1022","TFPI"
"1023","CA9"
"1024","CA1"
"1025","HDC"
"1026","STK4"
"1027","LYN"
"1028","PDE5A"
"1029","KRT18"
"1030","ITGAX"
"1031","MME"
"1032","HSPB1"
"1033","GRIK2"
"1034","KCNA7"
"1035","CCL18"
"1036","CDKN1B"
"1037","CARM1"
"1038","TPCN1"
"1039","GRIN3B"
"1040","TP53"
"1041","AQP3"
"1042","PMP22"
"1043","GABRQ"
"1044","CD34"
"1045","SPINT1"
"1046","MT-ND2"
"1047","GJC2"
"1048","CCR2"
"1049","PSMD7"
"1050","ROCK1"
"1051","SLC6A15"
"1052","ALPL"
"1053","CACNA1S"
"1054","PDE3B"
"1055","GAS6"
"1056","SCN2A"
"1057","PAK2"
"1058","CCND1"
"1059","IRS1"
"1060","MDM4"
"1061","ATR"
"1062","DDAH1"
"1063","GNAS"
"1064","MT1F"
"1065","PRKACA"
"1066","IL2RA"
"1067","CDX2"
"1068","FFAR1"
"1069","MAPK1"
"1070","MTHFR"
"1071","TRIT1"
"1072","RAD21"
"1073","SRC"
"1074","NFKBIL1"
"1075","EGFL7"
"1076","HDAC5"
"1077","BRD4"
"1078","LAMB2"
"1079","MAS1"
"1080","ALDH5A1"
"1081","PDE11A"
"1082","CSF1"
"1083","PDE1C"
"1084","PAPPA"
"1085","TNNC1"
"1086","TLR5"
"1087","DCLK3"
"1088","LGALS2"
"1089","NALCN"
"1090","ELK1"
"1091","TFAP2A"
"1092","ITGB3"
"1093","MUC16"
"1094","KRT17"
"1095","VCAN"
"1096","FLT4"
"1097","HSPA4"
"1098","P2RY13"
"1099","PSMA6"
"1100","S100A12"
"1101","EDN1"
"1102","TBK1"
"1103","PTPRS"
"1104","MS4A1"
"1105","CACNB3"
"1106","KDM6B"
"1107","TOP1"
"1108","PDGFD"
"1109","PSMB1"
"1110","LVRN"
"1111","RAMP2"
"1112","HCN3"
"1113","PDE6D"
"1114","AXL"
"1115","CTH"
"1116","SLC38A3"
"1117","SCN9A"
"1118","WNK1"
"1119","FZD6"
"1120","STS"
"1121","NFKB2"
"1122","GPR3"
"1123","NDUFAF4"
"1124","ITGA1"
"1125","PLAU"
"1126","KCNMA1"
"1127","CDH5"
"1128","PIK3CG"
"1129","CD59"
"1130","LINGO1"
"1131","EGLN1"
"1132","SLCO4C1"
"1133","GRM1"
"1134","EPHA4"
"1135","IMPDH2"
"1136","GALR1"
"1137","CRAT"
"1138","HSP90AA1"
"1139","GP2"
"1140","TBXA2R"
"1141","CACNA2D2"
"1142","FIP1L1"
"1143","NPPC"
"1144","CASP6"
"1145","PMS2"
"1146","HLA-B"
"1147","STK11"
"1148","LIPE"
"1149","STRAP"
"1150","CHRND"
"1151","MCL1"
"1152","GSK3A"
"1153","PIP5K1A"
"1154","PDE4C"
"1155","DPYSL2"
"1156","NRG1"
"1157","CXCL2"
"1158","POLG"
"1159","CD1A"
"1160","SIGMAR1"
"1161","DYRK2"
"1162","FZD8"
"1163","GRIK1"
"1164","NLRP3"
"1165","CMKLR1"
"1166","ABAT"
"1167","FDFT1"
"1168","GPT"
"1169","RAF1"
"1170","ACVRL1"
"1171","MMP3"
"1172","GRIA4"
"1173","GRIA2"
"1174","C1R"
"1175","SLC40A1"
"1176","GPR174"
"1177","NR1I3"
"1178","AKR1C1"
"1179","QPRT"
"1180","PTPRM"
"1181","CALCRL"
"1182","SETD7"
"1183","PPARG"
"1184","ART1"
"1185","LDLR"
"1186","ASIC4"
"1187","TPSAB1"
"1188","PRKAA1"
"1189","CD83"
"1190","ASIC1"
"1191","FHIT"
"1192","MST1R"
"1193","GBA"
"1194","PSMA5"
"1195","CYP3A5"
"1196","GADD45A"
"1197","CHRM3"
"1198","LTK"
"1199","CNR2"
"1200","HPRT1"
"1201","SRD5A2"
"1202","TRPV6"
"1203","ETV6"
"1204","CAST"
"1205","CACNA2D3"
"1206","FKBP4"
"1207","NR2E3"
"1208","TRAP1"
"1209","MLH1"
"1210","SLC12A1"
"1211","TRPC3"
"1212","PTPRZ1"
"1213","ACTC1"
"1214","STK32B"
"1215","NGFR"
"1216","CATSPER2"
"1217","NDUFA13"
"1218","GJA5"
"1219","PRKCH"
"1220","FBP1"
"1221","STAT3"
"1222","IGFBP4"
"1223","SQLE"
"1224","CARD9"
"1225","RYR2"
"1226","NBN"
"1227","OXSR1"
"1228","BRPF3"
"1229","CSNK1G1"
"1230","SLC12A6"
"1231","CLCN2"
"1232","PTPN6"
"1233","CCNG1"
"1234","ATRX"
"1235","PRKCI"
"1236","INHBA"
"1237","CYP3A7"
"1238","GNRH1"
"1239","VEGFA"
"1240","DNPEP"
"1241","TPBG"
"1242","ABCB11"
"1243","GJB4"
"1244","PDCD4"
"1245","MDM2"
"1246","CACNG6"
"1247","NRAS"
"1248","ADGRB1"
"1249","LRP1"
"1250","RGMA"
"1251","TPSB2"
"1252","GGPS1"
"1253","IL24"
"1254","CSNK1D"
"1255","MAPK13"
"1256","CDK20"
"1257","SLC38A1"
"1258","GSTM1"
"1259","BCL2"
"1260","SLC6A12"
"1261","HVCN1"
"1262","PSMD9"
"1263","SLCO2B1"
"1264","CPT2"
"1265","CNGA3"
"1266","HLA-C"
"1267","ULK3"
"1268","SLC12A5"
"1269","SRD5A1"
"1270","NRIP1"
"1271","GJB5"
"1272","ASIC2"
"1273","TAT"
"1274","SRPK2"
"1275","CTSV"
"1276","KCNK9"
"1277","PI3"
"1278","CXCR2"
"1279","CYP51A1"
"1280","CCL8"
"1281","S100A2"
"1282","FABP5"
"1283","SLC29A2"
"1284","GNA11"
"1285","CHRNA7"
"1286","SDC2"
"1287","PADI1"
"1288","ADI1"
"1289","PTGS1"
"1290","LPAR5"
"1291","CR2"
"1292","SCNN1G"
"1293","CTRC"
"1294","FPGS"
"1295","KDM2A"
"1296","C9orf47"
"1297","PRSS1"
"1298","PANX1"
"1299","MBTPS1"
"1300","MAPK8"
"1301","PRKD3"
"1302","B4GALNT1"
"1303","PLA2G5"
"1304","F2RL2"
"1305","KMT5A"
"1306","GUCY1A2"
"1307","RAB5A"
"1308","NDUFA10"
"1309","EIF4G1"
"1310","TLR9"
"1311","SREBF1"
"1312","NOD2"
"1313","ORAI1"
"1314","SYP"
"1315","PSMC5"
"1316","CD80"
"1317","GALR2"
"1318","ATP4B"
"1319","PIM1"
"1320","CPS1"
"1321","BSG"
"1322","KCNK10"
"1323","PTPN13"
"1324","TPSD1"
"1325","ATF2"
"1326","MT-ND4"
"1327","TNFRSF17"
"1328","LTF"
"1329","LUM"
"1330","CP"
"1331","KLRC1"
"1332","ADSS"
"1333","WNK3"
"1334","MARK2"
"1335","CD244"
"1336","ITPKA"
"1337","MAP3K8"
"1338","AQP10"
"1339","COL3A1"
"1340","USP1"
"1341","MET"
"1342","PRMT5"
"1343","ADRA2C"
"1344","EPHB1"
"1345","CD22"
"1346","MAP3K5"
"1347","F12"
"1348","SLC6A4"
"1349","BDKRB2"
"1350","MSH6"
"1351","NPTN"
"1352","NECTIN4"
"1353","IGF2"
"1354","MYO9B"
"1355","HDAC1"
"1356","CTSC"
"1357","CUBN"
"1358","BMP1"
"1359","PSMA2"
"1360","CSF2RB"
"1361","SDHB"
"1362","ABCC5"
"1363","TNFRSF8"
"1364","YWHAE"
"1365","CD38"
"1366","HP"
"1367","TRPC5"
"1368","SOS1"
"1369","MAPK12"
"1370","PTK2B"
"1371","ACTG1"
"1372","ASXL1"
"1373","GPX1"
"1374","ERCC4"
"1375","FCGR3A"
"1376","NDUFS8"
"1377","KCNH5"
"1378","BACE2"
"1379","MGMT"
"1380","CXCL8"
"1381","ARAF"
"1382","GABRG3"
"1383","NDUFAB1"
"1384","SLC5A4"
"1385","BRD7"
"1386","DOT1L"
"1387","ERN1"
"1388","GABRP"
"1389","ELN"
"1390","GTF2B"
"1391","CDK8"
"1392","SMTN"
"1393","SERPINA6"
"1394","RAB27A"
"1395","MTRR"
"1396","ATM"
"1397","FGR"
"1398","PDE9A"
"1399","FCGR2A"
"1400","CX3CL1"
"1401","EPHA1"
"1402","SLC15A4"
"1403","ENO2"
"1404","OXTR"
"1405","RARG"
"1406","TEAD1"
